mdm_id,lud
5409362,2020-03-25T12:49:13.103Z
5409747,2020-04-03T15:13:44.534Z
5414541,2020-03-25T06:40:00.417Z
5415565,2020-03-24T23:30:23.676Z
5416954,2020-04-03T13:13:55.132Z
5418248,2020-04-03T15:00:25.953Z
5418865,2020-04-03T15:20:00.632Z
5418993,2020-04-03T09:49:12.715Z
5419231,2020-04-03T08:38:48.887Z
5419729,2020-03-24T23:36:15.183Z
5419727,2020-04-03T11:25:10.080Z
5426072,2020-03-25T00:39:16.885Z
5426964,2020-03-25T00:15:02.833Z
5427784,2020-03-24T23:01:15.261Z
5430250,2020-03-25T00:10:28.585Z
5433348,2020-03-25T07:41:17.606Z
5437747,2020-03-25T01:00:26.563Z
5439534,2020-03-25T03:47:40.766Z
5441558,2020-03-24T22:14:55.099Z
5442683,2020-04-03T15:18:50.465Z
5447833,2020-03-25T11:41:59.897Z
5451064,2020-03-25T03:38:41.476Z
5451332,2020-03-24T23:27:44.985Z
5457092,2020-03-25T01:57:50.445Z
5457553,2020-04-03T14:27:07.372Z
5459492,2020-03-25T02:52:43.960Z
5459677,2020-03-25T01:23:48.171Z
5468725,2020-04-02T14:24:53.568Z
5470197,2020-03-25T04:03:40.628Z
5470268,2020-04-03T11:58:37.458Z
5470363,2020-03-25T09:11:07.889Z
5473921,2020-03-25T07:26:31.538Z
5475164,2020-03-25T00:14:20.716Z
5475952,2020-03-25T08:37:39.234Z
5484490,2020-04-03T15:20:35.803Z
5486093,2020-04-03T07:47:50.461Z
5491105,2020-04-03T15:04:38.795Z
5492543,2020-03-25T14:03:41.469Z
5494299,2020-03-25T10:43:49.555Z
5494509,2020-03-24T22:16:00.760Z
5495018,2020-03-24T21:42:27.568Z
5501521,2020-03-24T22:39:05.418Z
5502991,2020-03-25T02:08:29.212Z
5505899,2020-03-25T05:28:45.556Z
5506366,2020-03-25T11:13:03.253Z
5506514,2020-04-03T11:17:44.549Z
5513195,2020-03-25T07:32:36.900Z
5515449,2020-04-03T09:50:14.387Z
5519229,2020-03-25T13:05:38.244Z
5520117,2020-03-25T12:18:37.494Z
5520386,2020-03-25T01:01:25.666Z
5520790,2020-03-25T09:15:07.814Z
5523383,2020-03-25T01:26:03.887Z
5524067,2020-04-03T13:19:00.500Z
5526214,2020-04-03T14:17:48.544Z
5530691,2020-04-03T15:23:56.740Z
5530858,2020-04-03T13:18:45.723Z
5534837,2020-03-25T00:20:02.753Z
5540605,2020-03-25T10:14:34.431Z
5542113,2020-03-25T03:30:58.576Z
5548754,2020-04-03T09:53:35.808Z
5565381,2020-04-03T12:53:28.263Z
5569688,2020-04-03T10:00:20.047Z
5570122,2020-04-03T12:54:58.716Z
5572139,2020-04-03T13:29:43.029Z
5572685,2020-04-03T12:47:52.099Z
5580248,2020-04-03T12:59:43.703Z
5581461,2020-03-25T04:27:04.680Z
5582827,2020-04-03T13:45:38.779Z
5584053,2020-04-03T12:52:47.777Z
5587595,2020-04-03T14:27:31.056Z
5596692,2020-04-03T13:05:15.621Z
5600798,2020-04-03T13:39:21.136Z
5602484,2020-04-03T13:13:11.151Z
5605358,2020-04-03T12:54:17.101Z
5611012,2020-04-03T13:27:21.699Z
5612411,2020-04-03T13:09:27.915Z
5616497,2020-04-03T13:10:23.349Z
5623658,2020-04-03T13:14:52.482Z
5629654,2020-04-03T13:21:25.832Z
5634998,2020-04-03T13:17:59.974Z
5636047,2020-04-03T15:05:39.478Z
5639316,2020-03-25T04:40:02.206Z
5647729,2020-04-03T14:19:42.935Z
5649498,2020-04-03T13:17:34.495Z
5653281,2020-04-03T13:26:11.746Z
5656905,2020-04-03T13:22:06.676Z
9673916,2020-03-25T01:32:04.339Z
9747890,2020-03-25T07:47:39.006Z
9791733,2020-03-25T02:19:53.103Z
9795169,2020-03-25T06:46:09.892Z
9846342,2020-03-25T08:11:11.190Z
15343807,2020-03-25T09:07:41.368Z
6080392,2020-04-03T12:00:21.097Z
15681020,2020-03-24T22:13:41.343Z
16962222,2020-03-24T23:23:17.083Z
17217468,2020-03-25T07:05:13.949Z
16103697,2020-03-25T06:01:22.744Z
17232175,2020-03-27T08:29:46.522Z
5666478,2020-04-03T13:22:42.360Z
5669135,2020-04-03T11:20:56.386Z
5673557,2020-04-03T13:20:07.719Z
5677039,2020-04-03T14:34:44.536Z
5678037,2020-04-03T12:20:32.059Z
5678238,2020-04-03T13:19:43.829Z
5680763,2020-04-03T13:38:23.142Z
5682248,2020-04-03T13:27:13.113Z
5685165,2020-04-03T13:40:14.219Z
5691035,2020-04-03T13:35:00.401Z
5694704,2020-04-03T13:36:04.431Z
5696535,2020-03-24T22:52:59.339Z
5701252,2020-04-03T13:42:19.905Z
5704366,2020-04-03T13:40:50.141Z
5717289,2020-04-03T15:12:01.404Z
5725727,2020-04-03T11:31:36.569Z
5726864,2020-04-03T13:42:21.600Z
5729482,2020-04-03T14:09:18.784Z
5734054,2020-04-03T13:40:40.232Z
5735235,2020-04-03T13:52:27.673Z
5738658,2020-04-03T13:55:33.517Z
5742103,2020-04-03T11:40:14.365Z
5746249,2020-04-03T13:48:57.182Z
5746407,2020-04-03T14:21:50.492Z
5748596,2020-04-03T11:34:49.272Z
5750230,2020-04-03T13:48:48.027Z
5752769,2020-04-03T11:36:45.601Z
5753247,2020-04-03T13:48:58.567Z
5762380,2020-04-03T14:36:08.815Z
5765698,2020-03-25T04:55:20.338Z
5768318,2020-04-03T13:54:50.992Z
5770013,2020-04-03T13:52:13.587Z
5770298,2020-03-25T13:39:26.000Z
5774707,2020-04-03T13:50:20.241Z
5774986,2020-04-03T13:57:54.324Z
5775524,2020-04-03T13:47:08.787Z
5782727,2020-04-03T13:52:03.010Z
5782945,2020-04-03T13:56:42.684Z
5787178,2020-03-25T02:14:31.166Z
5790248,2020-04-03T14:04:43.226Z
5790447,2020-03-25T08:47:08.297Z
5794621,2020-03-24T21:47:33.565Z
5795751,2020-04-03T11:44:53.446Z
5801394,2020-04-03T14:00:20.117Z
5803726,2020-04-03T14:32:50.796Z
5806963,2020-04-03T14:15:55.087Z
5808079,2020-03-24T22:28:44.251Z
5811914,2020-03-25T13:58:42.174Z
5821212,2020-03-25T05:46:28.917Z
5822106,2020-04-03T15:00:04.758Z
5822749,2020-03-25T13:17:36.344Z
5827501,2020-03-25T10:58:28.553Z
5827656,2020-03-25T09:26:00.419Z
5828694,2020-03-25T04:23:32.090Z
5831816,2020-03-25T09:58:08.325Z
5840672,2020-03-25T08:28:20.378Z
5846103,2020-04-03T14:23:49.757Z
5847794,2020-03-25T00:10:21.743Z
5854466,2020-03-25T04:33:52.189Z
5856483,2020-03-25T08:48:26.850Z
5856987,2020-04-03T08:36:51.993Z
5856984,2020-03-25T12:56:06.768Z
5857866,2020-03-25T03:13:14.659Z
5858548,2020-03-25T11:42:33.066Z
5861682,2020-03-25T13:46:30.803Z
5867598,2020-04-03T14:25:25.175Z
5870695,2020-03-27T08:29:17.944Z
5875378,2020-03-25T04:57:44.922Z
5876824,2020-03-25T05:40:05.546Z
5877802,2020-03-25T02:21:53.644Z
5882888,2020-03-25T00:27:03.454Z
5885052,2020-03-25T00:58:14.105Z
5885170,2020-03-25T08:47:42.191Z
5889565,2020-03-25T08:05:27.128Z
5893763,2020-03-25T00:38:00.578Z
5898039,2020-04-03T08:58:52.555Z
5902162,2020-04-03T12:05:06.138Z
5905764,2020-03-25T05:58:20.746Z
5908161,2020-03-25T11:41:12.053Z
5919099,2020-03-25T00:57:37.247Z
5919811,2020-03-25T05:35:30.753Z
5919806,2020-03-24T23:34:22.108Z
5921391,2020-04-03T14:28:01.658Z
5930724,2020-03-24T23:12:50.492Z
5939070,2020-03-25T01:01:16.710Z
5942291,2020-03-25T08:34:22.741Z
5956331,2020-03-25T09:22:15.385Z
5970452,2020-04-03T11:56:34.800Z
5972078,2020-03-25T12:42:16.132Z
5975300,2020-03-25T13:00:26.095Z
5983128,2020-03-25T07:44:51.325Z
5986350,2020-03-25T09:46:01.736Z
5988194,2020-03-25T03:29:05.134Z
5990856,2020-03-25T05:45:49.748Z
5992094,2020-03-25T01:54:34.761Z
5999732,2020-03-25T02:24:28.161Z
6005058,2020-04-03T12:09:47.830Z
6009049,2020-03-25T05:18:41.205Z
6012177,2020-03-25T09:10:12.565Z
6015744,2020-03-24T21:58:02.531Z
6019122,2020-03-25T12:16:56.332Z
6024002,2020-03-25T09:20:06.902Z
6029597,2020-03-25T04:46:09.154Z
6030594,2020-04-03T14:39:20.599Z
6035765,2020-03-25T12:41:58.754Z
