mdm_id,lud
17320783,2020-03-25T05:00:12.465Z
17320784,2020-03-25T07:45:58.342Z
17320787,2020-03-24T22:46:27.463Z
17320792,2020-03-25T05:55:23.242Z
17320798,2020-03-25T09:21:29.000Z
17320799,2020-03-24T23:50:23.979Z
17320802,2020-03-25T02:30:16.333Z
17320803,2020-03-25T08:35:16.603Z
17320808,2020-03-25T03:55:28.615Z
17320806,2020-03-25T13:27:44.879Z
17320810,2020-03-25T04:36:15.901Z
17320814,2020-03-24T22:53:49.205Z
17320812,2020-03-25T13:21:10.955Z
17320819,2020-03-24T23:40:26.262Z
17320821,2020-03-25T12:21:35.120Z
17320827,2020-03-25T06:56:59.783Z
17320826,2020-03-24T23:11:34.854Z
17320829,2020-03-25T13:12:27.722Z
17320833,2020-03-25T06:31:59.290Z
17320836,2020-03-25T08:24:28.521Z
17320839,2020-03-25T06:40:46.944Z
17320841,2020-03-25T13:03:10.112Z
17320844,2020-03-24T22:57:27.298Z
17320838,2020-03-25T01:01:06.571Z
17320847,2020-03-25T08:42:06.411Z
17320848,2020-03-25T03:03:50.286Z
17320850,2020-03-25T00:21:43.135Z
17320852,2020-03-25T09:09:51.472Z
17320866,2020-03-25T08:47:30.390Z
17320860,2020-03-25T04:13:57.374Z
17320861,2020-03-25T10:36:06.431Z
17320855,2020-03-25T01:25:47.781Z
17320867,2020-03-25T05:24:47.961Z
17320868,2020-03-25T01:02:25.346Z
17320873,2020-03-25T13:12:27.587Z
17320869,2020-03-25T04:14:04.310Z
17320871,2020-03-25T13:52:23.107Z
17320877,2020-03-25T10:03:40.709Z
17320875,2020-03-24T23:50:59.581Z
17320881,2020-03-25T05:10:56.499Z
17320888,2020-03-25T14:00:07.928Z
17320892,2020-03-25T10:51:11.403Z
17320894,2020-03-25T02:15:24.556Z
17322573,2020-03-25T11:43:59.154Z
17322577,2020-03-25T02:30:01.721Z
17322712,2020-03-25T08:33:01.589Z
17322714,2020-03-25T00:49:01.081Z
17322717,2020-03-24T22:33:40.584Z
17322715,2020-03-24T22:58:13.134Z
17322711,2020-03-25T01:47:47.844Z
17322718,2020-03-25T13:05:45.388Z
17322720,2020-03-25T08:34:41.250Z
17322725,2020-03-25T09:03:19.897Z
17322733,2020-03-25T12:57:16.130Z
17322737,2020-03-25T12:41:03.272Z
17322743,2020-03-24T22:46:07.352Z
17322741,2020-03-25T10:16:11.669Z
17322748,2020-03-25T06:57:25.470Z
17322745,2020-03-25T11:53:34.812Z
17322751,2020-03-25T01:39:37.604Z
17322749,2020-03-24T22:45:46.431Z
17322768,2020-03-25T07:57:51.604Z
17322765,2020-03-25T08:43:51.802Z
17322764,2020-03-25T08:14:16.084Z
17322766,2020-03-25T13:09:30.146Z
17322781,2020-03-24T22:47:20.616Z
17322784,2020-03-25T01:19:52.741Z
17322787,2020-03-25T01:56:09.927Z
17322788,2020-03-25T13:23:27.988Z
17322789,2020-03-25T10:44:47.477Z
17322791,2020-03-25T13:02:19.379Z
17322793,2020-03-25T02:41:33.524Z
17322798,2020-03-25T03:10:23.196Z
17322792,2020-03-25T07:40:29.362Z
17322796,2020-03-25T10:00:07.730Z
17322794,2020-03-24T22:02:04.125Z
17322801,2020-03-25T04:30:45.341Z
17322811,2020-03-25T02:00:15.651Z
17322808,2020-03-24T23:14:56.588Z
17322817,2020-03-24T23:50:06.416Z
17322820,2020-03-25T03:54:19.359Z
17322826,2020-03-25T02:01:38.751Z
17322827,2020-03-25T13:48:50.383Z
17322828,2020-03-25T04:58:51.450Z
17322834,2020-03-25T06:40:47.627Z
17322830,2020-03-24T22:55:09.972Z
17322836,2020-03-25T11:08:06.879Z
17322835,2020-03-25T04:35:45.249Z
17322843,2020-03-25T05:48:01.437Z
17322841,2020-03-25T03:53:04.117Z
17322854,2020-03-25T07:34:55.586Z
17322861,2020-03-25T11:39:05.280Z
17322865,2020-03-25T11:38:03.510Z
17322866,2020-03-24T22:50:18.785Z
17322868,2020-03-25T05:10:18.734Z
17322871,2020-03-25T08:37:36.478Z
17322875,2020-03-25T13:45:35.843Z
17322879,2020-03-25T08:14:07.186Z
17322884,2020-03-27T08:45:17.592Z
17322880,2020-03-25T12:53:29.041Z
17322882,2020-03-25T13:25:27.351Z
17322887,2020-03-25T12:22:36.404Z
17322903,2020-03-25T07:22:30.169Z
17327129,2020-03-25T02:21:15.204Z
17327134,2020-03-25T07:34:46.592Z
17327135,2020-03-24T23:37:04.519Z
17327128,2020-03-27T08:50:14.597Z
17327130,2020-03-27T08:51:18.192Z
17327131,2020-03-27T08:51:55.998Z
17327153,2020-03-25T13:33:14.924Z
17327155,2020-03-27T08:49:13.045Z
17327150,2020-03-27T08:51:22.689Z
17327149,2020-03-27T08:51:55.998Z
17327145,2020-03-27T08:50:47.204Z
17327164,2020-03-25T00:19:02.208Z
17327168,2020-03-25T13:24:49.777Z
17327167,2020-03-25T04:16:03.044Z
17327179,2020-03-27T08:50:53.890Z
17327184,2020-03-27T08:50:56.040Z
17327183,2020-03-27T08:50:53.890Z
17327181,2020-03-27T08:50:56.040Z
17327182,2020-03-27T08:50:47.204Z
17327180,2020-03-25T05:54:03.433Z
17327189,2020-03-25T13:03:10.112Z
17327192,2020-03-24T23:59:09.427Z
17327193,2020-03-25T04:53:35.723Z
17327197,2020-03-25T04:29:45.073Z
17327212,2020-03-25T01:21:03.574Z
17327220,2020-03-25T08:28:08.275Z
17327239,2020-03-25T12:24:45.790Z
17327244,2020-03-24T23:45:58.870Z
17327246,2020-03-24T23:14:56.349Z
17327225,2020-03-25T03:50:29.215Z
17327233,2020-03-25T02:56:23.800Z
17327248,2020-03-24T22:30:19.729Z
17327272,2020-03-27T08:51:05.101Z
17327268,2020-03-27T08:49:09.882Z
17327257,2020-03-27T08:51:22.689Z
17327262,2020-03-25T03:18:24.853Z
17327255,2020-03-24T23:28:57.669Z
17327287,2020-03-25T04:20:02.031Z
17327292,2020-03-25T09:46:01.736Z
17327286,2020-03-25T02:20:01.688Z
